	Name	id	Type 1	Legendary	Total	HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
0	Bulbasaur	1	Grass	False	273	45	49	49	65	65	45
1	Ivysaur	2	Grass	False	345	60	62	63	80	80	60
2	Venusaur	3	Grass	False	445	80	82	83	100	100	80
3	VenusaurMega Venusaur	3	Grass	False	545	80	100	123	122	120	80
4	Charmander	4	Fire	False	244	39	52	43	60	50	65
5	Charmeleon	5	Fire	False	325	58	64	58	80	65	80
6	Charizard	6	Fire	False	434	78	84	78	109	85	100
7	CharizardMega Charizard X	6	Fire	False	534	78	130	111	130	85	100
8	CharizardMega Charizard Y	6	Fire	False	534	78	104	78	159	115	100
9	Squirtle	7	Water	False	271	44	48	65	50	64	43
10	Wartortle	8	Water	False	347	59	63	80	65	80	58
11	Blastoise	9	Water	False	452	79	83	100	85	105	78
12	BlastoiseMega Blastoise	9	Water	False	552	79	103	120	135	115	78
13	Caterpie	10	Bug	False	150	45	30	35	20	20	45
14	Metapod	11	Bug	False	175	50	20	55	25	25	30
15	Butterfree	12	Bug	False	325	60	45	50	90	80	70
16	Weedle	13	Bug	False	145	40	35	30	20	20	50
17	Kakuna	14	Bug	False	170	45	25	50	25	25	35
18	Beedrill	15	Bug	False	320	65	90	40	45	80	75
19	BeedrillMega Beedrill	15	Bug	False	350	65	150	40	15	80	145
20	Pidgey	16	Normal	False	195	40	45	40	35	35	56
21	Pidgeotto	17	Normal	False	278	63	60	55	50	50	71
22	Pidgeot	18	Normal	False	378	83	80	75	70	70	101
23	PidgeotMega Pidgeot	18	Normal	False	458	83	80	80	135	80	121
24	Rattata	19	Normal	False	181	30	56	35	25	35	72
25	Raticate	20	Normal	False	316	55	81	60	50	70	97
26	Spearow	21	Normal	False	192	40	60	30	31	31	70
27	Fearow	22	Normal	False	342	65	90	65	61	61	100
28	Ekans	23	Poison	False	233	35	60	44	40	54	55
29	Arbok	24	Poison	False	358	60	85	69	65	79	80
30	Pikachu	25	Electric	False	230	35	55	40	50	50	90
31	Raichu	26	Electric	False	375	60	90	55	90	80	110
32	Sandshrew	27	Ground	False	260	50	75	85	20	30	40
33	Sandslash	28	Ground	False	385	75	100	110	45	55	65
34	Nidoran (Female)	29	Poison	False	234	55	47	52	40	40	41
35	Nidorina	30	Poison	False	309	70	62	67	55	55	56
36	Nidoqueen	31	Poison	False	429	90	92	87	75	85	76
37	Nidoran (Male)	32	Poison	False	223	46	57	40	40	40	50
38	Nidorino	33	Poison	False	300	61	72	57	55	55	65
39	Nidoking	34	Poison	False	420	81	102	77	85	75	85
40	Clefairy	35	Fairy	False	288	70	45	48	60	65	35
41	Clefable	36	Fairy	False	423	95	70	73	95	90	60
42	Vulpix	37	Fire	False	234	38	41	40	50	65	65
43	Ninetales	38	Fire	False	405	73	76	75	81	100	100
44	Jigglypuff	39	Normal	False	250	115	45	20	45	25	20
45	Wigglytuff	40	Normal	False	390	140	70	45	85	50	45
46	Zubat	41	Poison	False	190	40	45	35	30	40	55
47	Golbat	42	Poison	False	365	75	80	70	65	75	90
48	Oddish	43	Grass	False	290	45	50	55	75	65	30
49	Gloom	44	Grass	False	355	60	65	70	85	75	40
50	Vileplume	45	Grass	False	440	75	80	85	110	90	50
51	Paras	46	Bug	False	260	35	70	55	45	55	25
52	Parasect	47	Bug	False	375	60	95	80	60	80	30
53	Venonat	48	Bug	False	260	60	55	50	40	55	45
